ID;Button;Translate
370;Sub;
371;Start;
372;Spot Clean;
373;Sources;Source
374;SkipBack;Backward
375;Shift;
376;S_mode;S_mode
377;Rwd;Reverse
378;Rotation;
379;Right_Arrow;Right
380;Reveal;
381;Random;Random
382;Radio;
383;Prime_video;
384;Prime_Video;
385;Prime;
386;Prev_Ch;Ch_prev
387;PrevTrack;
388;Power_on;Power_ON
389;Power_off;Power_Off
390;Pip;
391;Pc;
392;POWER_off;Power_Off
393;PINK;
394;Oscillation;
395;Osc;
396;Normal;
397;Network;
398;Max;
399;MTS;
400;M;
401;Lower;
402;Lime;
403;Left_Arrow;Left
404;Lamp;
405;LIGHT_BLUE;
406;Keystone;
407;Jump7;
408;Jump3;
409;InputAux;Input_AUX
410;Heater;
411;HDMI_2;
412;Fw;
413;Foward;
414;Fade7;
415;Fade3;
416;FAN;
417;Energy_Saver;
418;Edge Clean;
419;Dim -;
420;Dim +;
421;Contrast;
422;Comp;
423;Carnation;
424;Bt_pair;
425;BassUp;Bass_Up
426;BassDown;
427;Backwards;Backward
428;BASS+;
429;Alarm;
430;A_B;
431;>>;
432;<<;
433;8H;
434;|<<;
435;source;Source
436;off;Off
437;input;Input
438;home;Home
439;back;Back
440;ZOOM;
441;YPbPr;
442;Warm;
443;WHITE;
444;Volume Up;Vol_up
445;Volume Down;Vol_dn
446;Vol_plus;Vol_up
447;V_up;Vol_up
448;UP_Arrow;Up
449;Turn;
450;Treble_down;
451;Track_fwd;
452;Track_back;Track_back
453;Timer Off;Timer_Off
454;Test;
455;Temp_up;
456;Temp_down;
457;Tab;
458;TV_Power;Power_TV
459;TV_Input;Input_TV
460;TV_AV;
461;TV/Radio;
462;TURBO;
463;TUNER;
464;TTX/MIX;
465;TELETEXT;
466;Sync;
467;Swap;
468;Subtitles;
469;Sub_down;
470;Status;
471;Start Stop;
472;Standard;
473;Src;
474;Sports;
475;Speed -;
476;Speed +;
477;Sound_control;
478;Souce;
479;Smart Hub;
480;Skip_forward;Skip_Forward
481;Skip_back;Track_back
482;Sea Green;
483;Scan;
484;STTL;
485;STILL;
486;SRS;
487;SPEED-;
488;SPEED+;
489;SMODE;S_mode
490;SLEEP MODE;
491;SETUP;Setup
492;SAP;
493;Resolution;
494;Reboot;
495;Raise;
496;ROTATE;
497;REW;
498;REVERSE;Reverse
499;Power_On;Power_ON
500;Position;
501;PlayPause;Pause
502;Play Pause;Pause
503;Play / Pause;Pause
504;PgUp;
505;Pause/Play;Pause
506;Pair;
507;Page_up;
508;P_size;
509;PREV_CH;Ch_prev
510;POWER_Off;Power_Off
511;PMODE;P_mode
512;Open;
513;Ocean;
514;Not Availible;
515;Nightmode;
516;Next_track;
517;News;
518;Narrow;
519;NIGHT;
520;Muting;
521;Mouse;
522;Mode_auto;
523;Mode_1;
524;Mode2;
525;Mix;
526;Mid;
527;Media;
528;MAX;
529;Line2;
530;Line1;
531;Light_green;
532;Last_View;
533;Language;
534;LIST;
535;LANG;
536;Internet;
537;Heat;
538;Hdmi_4;
539;Hdmi_3;
540;Func;
541;Favorites;
542;Fastforward;Forward
543;Fast_Fwd;
544;Fan_Speed;
545;FWD;
546;FLASH;
547;FAN_AUTO;
548;F1;
549;F;
550;Extra;
551;Eq;
552;Ent;
553;Dwn;
554;Disney+;
555;Dim_up;
556;D_Blue;BLUE
557;DPad_Up;Up
558;DPad_Right;Right
559;DPad_Left;Left
560;DPad_Down;Down
561;DIY 6;
562;DIY 5;
563;DIY 4;
564;DIY 3;
565;DIY 2;
566;DIY 1;
567;Cold;
568;Ch_List;Ch_list
569;Cd;
570;C_Yellow;
571;C_F;
572;CH_List;Ch_list
573;CH_LIST;Ch_list
574;Bw;
575;Bt;
576;Bright-;Bright-
577;Bright+;Bright+
578;B_Green;GREEN
579;BGM;
580;BD_DVD;
581;BASS-;
582;Aqua;
583;Analog;
584;Ambilight;
585;Amazon;
586;Adjust;
587;Ad_subt;
588;Accessibility Shortcut;
589;A_Red;
590;AV_Sync;
591;AV_Mute;Mute_AV
592;>>|;
593;6H;
594;2H;
595;21;
596;20;
597;1h;
598;19;
599;18;
600;17;
601;16;
602;15;
603;14;
604;13;
605;12;
606;10_0;
607;100;
608;*;
609;|<;
610;up;Up
611;stop;Stop
612;silence;
613;right;Right
614;return;
615;red;RED
616;rec;
617;power;Power
618;play;Play
619;pause;Pause
620;on;
621;ok;Ok
622;menu;Menu
623;left;Left
624;green;GREEN
625;down;Down
626;bright_up;Bright+
627;bright_down;Bright-
628;_l__;
629;Zoom_up;
630;Zoom_Out;
631;Zoom_In;
632;ZOOM-;
633;ZOOM+;
634;Yes;
635;Yellow_x;
636;Yellow_Orange;
637;Yellow/C;
638;YELOW;
639;YELGRN;
640;YEL;
641;Xumo;
642;X;
643;Woofer;
644;Wireless;
645;Warmer;
646;WIND_TYPE;
647;WHITISH;
648;Vup;Vol_up
649;Vol_minus;Vol_dn
650;Vol_min;
651;Vol_UP;Vol_up
652;Vol_Mute;Mute
653;Vol_Dwn;Vol_dn
654;Vol_Dn;Vol_dn
655;Voice_Up;
656;Voice_Down;
657;Virtual Numarical Pad;
658;Viera_Tools;
659;Video (MD);
660;Vertical;
661;Vdwn;
662;Vcr;
663;VIZIO;
664;VGA;
665;VCR_TV;
666;User3;
667;User2;
668;User1;
669;Up_light;
670;Unknown;
671;UP_DOWN;
672;Tv_guide;
673;Turqouise;
674;Tuning -;
675;Tuning +;
676;Tuner/Band;
677;Tune_up;
678;Tune_dwn;
679;Ttx_mix;
680;Treble_Up;
681;Treble_Down;
682;Top_Menu;
683;TopMenu;
684;Tint;
685;Timer 4h;Timer_4h
686;Test Tone;
687;Temp_Up;
688;Temp_Down;
689;Tangerine;
690;TV_Guide;
691;TV/RADIO;
692;TV/R;
693;TV/AV;
694;TURQ;
695;TUNE-;
696;TUNE+;
697;TTX;
698;TREBLE-;
699;TREBLE+;
700;TIMER_OFF;Timer_Off
701;TEMP_28;
702;TEMP_27;
703;TEMP_26;
704;TEMP_24;
705;TEMP_22;
706;TEMP_20;
707;TEMP_18;
708;TEMP_16;
709;TAPE;
710;Swing_on;
711;Swing_off;
712;Sunset;
713;Suction Level;
714;Subt;
715;Subs;
716;Sub_reset;
717;Sttl;
718;Strength;
719;Streambox;
720;Still;
721;Start/Pause;Pause
722;Spread;
723;Spot;
724;Sport;
725;Speed-;
726;Speed+;
727;SpeakerLevel;
728;Speaker;
729;Sound_effect;
730;SoundEffect;
731;Sound Effect;
732;Snooze;
733;Smart_Hub;
734;Sling;
735;Skip_bck;
736;Skip_Backwards;Backward
737;SkipForward;Skip_Forward
738;Sharp;
739;Set_ok;Ok
740;Set;
741;Sensor;
742;Scroll;
743;Scene;
744;SUBPAGE;
745;SUB-;
746;SUB+;
747;SSM;
748;SPLIT;
749;SPEED 3;
750;SPEED 2;
751;SPEED 1;
752;SMode;S_mode
753;SMART_HOME;
754;SLOW_FADE;
755;SLOW;
756;SKIP_FORWARD;Skip_Forward
757;SKIP_BACK;Track_back
758;SKIP;
759;SIZE;
760;SET;
761;SELECT;
762;SEARCH;
763;SAT_CATV;
764;S.Mode;S_mode
765;Royal_Blue;
766;Right_VolUp;
767;Rev;
768;Return/Back;Back
769;Restart;
770;Remote;
771;Ref;
772;Red_triangle;
773;Red/A;
774;Red UP;
775;Red DOWN;
776;Rec_Mode;
777;Rear -;
778;Rear +;
779;RG;
780;REC/*;
781;R-;
782;R+;
783;Quick_menu;
784;Q-MENU;
785;Pro Logic;
786;PrimeVideo;
787;Previous_track;
788;Prev_ch;Ch_prev
789;Presets;
790;Preset EQ;
791;Preset -;
792;Preset +;
793;PreCh;Ch_prev
794;Pr_up;
795;Pr_down;
796;Powerful;
797;Power_Off;Power_Off
798;Power2;Power_2
799;Pound;
800;Popup_Menu;Popup_Menu
801;PopUpMenu;Popup_Menu
802;Pointer;
803;Play_Mode;
804;Photo;
805;PbyP;
806;Pandora;
807;Pan_up;
808;Pan_right;
809;Pan_left;
810;Pan_down;
811;Page_down;
812;PageUp;
813;PageDown;
814;P_GUIDE;
815;PVR;
816;PSM;
817;PROGRAM;
818;PRE_CH;Ch_prev
819;PREVIOUS;
820;PRESET;
821;PRE-CH;Ch_prev
822;POWER_on;Power_ON
823;POWER_On;Power_ON
824;POWER OFF;Power_Off
825;POUND;
826;PMode;P_mode
827;PHONO;
828;P.SIZE;
829;P.Mode;P_mode
830;P-;
831;P+;
832;P;
833;Other;
834;OsdMsg;
835;Oscy;
836;Oscx;
837;Oscilate;
838;Olympic;
839;Off?;
840;ORANGE;
841;OR;
842;OPTIONS;
843;ON_Speed;
844;Num_9;
845;Num_8;
846;Num_7;
847;Num_6;
848;Num_5;
849;Num_4;
850;Num_3;
851;Num_2;
852;Num_1;
853;Num_0;
854;Night_Mode;
855;Night_Light;
856;NextTrack;
857;NBA;
858;Music3;
859;Music2;
860;Music1;
861;Mts;
862;Movies;
863;Moon;
864;MonoStereo;
865;Mode_Enter;Enter
866;Mode_8;
867;Mode_7;
868;Mode_6;
869;Mode_5;
870;Mode_4;
871;Mode_3;
872;Mode_2;
873;Mode4;
874;Mode3;
875;Mode1;
876;Mod;
877;Menu_Exit;Exit
878;Med;
879;Maroon;
880;MagnifyOn;
881;MagnifyOff;
882;Magenta;
883;MTS_SAP;
884;MOVIE;
885;MEMORY;
886;MAG;
887;Loop;LOOP
888;Lock;
889;LiveTV;
890;Lighting;
891;Light_up;Light_up
892;Light_down;
893;Light_Blue;
894;Light UP;Light_up
895;Light Orange;
896;Light Green;
897;Light DOWN;
898;Light Blue;
899;Light -;
900;Light +;
901;Left_arrow;Left
902;Lavender;
903;Lang;
904;LINE2;
905;LINE1;
906;LEFT_RIGHT;BALANCE
907;LD;
908;LAN;
909;Keypad;
910;JUMP 7;
911;JUMP 3;
912;Ionizer;
913;Invert;
914;Interactive;
915;Intensity 3;
916;Input_TV;Input_TV
917;Input_AV;Input_AV
918;InputLine;Input_Line
919;InputBT;Input_BT
920;Information;Info
921;Increase;
922;Imput;
923;Image;
924;IPod;
925;INDEX;
926;Humidity;
927;Horizontal;
928;Holiday;
929;Heart;
930;Hdmi_5;
931;HELP;
932;HDMI2;
933;HDMI1;
934;HBO_Max;
935;Groove;
936;Green_square;
937;Green/B;
938;Green UP;
939;Green DOWN;
940;Goto;
941;Geometry;
942;GRN;
943;GOTO;
944;GAME;
945;Forest;
946;Focus-;
947;Focus+;
948;Focus;
949;Flat;
950;Flashback;
951;Flame;
952;Fire;
953;Finetune;
954;Ffw;
955;Ff;
956;Fast_fwd;
957;Fast_fw;
958;Fast-forward;Forward
959;Fan_auto;
960;Fan_Mode;
961;Fan_3;
962;Fan Only;
963;Fade2;
964;Fade1;
965;F_FORWARD;Forward
966;FUNCTION;
967;FULL ON;
968;FORMAT;
969;FOLDER-;
970;FOLDER+;
971;FFWD;
972;FAST_FORWARD;Forward
973;FAST FORWARD;Forward
974;FAN_SPEED;
975;FAN MODE;
976;FADE 3;
977;F9;
978;F8;
979;F7;
980;F6;
981;F5;
982;F4;
983;F3;
984;F2;
985;F12;
986;F11;
987;F10;
988;End;
989;Effect;
990;Edit;
991;E_manual;
992;ESPN;
993;ESC;
994;EQ_Music;
995;EQ_Movie;
996;E-Manual;
997;E-MANUAL;
998;Down_light;
999;Down_Arrow;
1000;Dmx;
1001;Disp;
1002;Disney;
1003;Disk;
1004;Disc -;
1005;Disc +;
1006;Direction;
1007;Direct;
1008;Dim_plus;
1009;Dim_minus;
1010;Dim_down;
1011;Digital/Analog;
1012;Digest;
1013;Dialog;
1014;Demo;
1015;Del;
1016;Default;
1017;Decrease;
1018;Decimal;
1019;Dark_green;
1020;Dark_blue;
1021;Dance;
1022;DIY_2;
1023;DIY_1;
1024;DIY6;
1025;DIY5;
1026;DIY4;
1027;DIY3;
1028;DIY2;
1029;DIY1;
1030;DIM;
1031;D2;
1032;D1;
1033;Custom;
1034;Ctr;
1035;Crackle;
1036;Counter_Reset;
1037;Cooler;
1038;Comfort;
1039;Color_Mode;
1040;Color-;
1041;Color+;
1042;Color;
1043;Coax;
1044;Circle;
1045;Chn_up;Ch_next
1046;ChildLock;
1047;Check;
1048;Charge;
1049;Chanel_up;Ch_next
1050;Ch_up;Ch_next
1051;Ch List;
1052;Center -;
1053;Center +;
